u,v,usage,pop_affected,pop_lost,score
1428254643,1428254678,562037,555615,0,50.06666666666666
1428254678,1428254712,561593,555171,0,49.73333333333333
1428254666,1428254712,557829,552277,0,49.4
1428254690,1428254736,555594,550042,0,48.8
1428119801,1428254690,555184,549632,0,48.46666666666666
1428213725,10003353133,809985,311361,0,46.4
1424618978,1424618980,513943,509360,0,46.0
1425700624,4843010220,1728964,246870,0,45.66666666666667
1424618922,1424618978,509356,504125,0,45.666666666666664
11721999394,11721999395,526715,495548,0,45.266666666666666
11721987246,11721999394,519686,494864,0,44.733333333333334
6324545333,11721987246,518741,493919,0,44.4
1431135602,1431135625,409518,502737,0,43.86666666666667
1428213692,1428213703,606866,156910,0,39.800000000000004
1425700513,10088707774,799760,453,0,39.06666666666666
1428104736,1428119801,397713,387477,0,38.66666666666667
1425700587,1425700624,1423247,0,0,38.53333333333334
1428104736,1428104745,397401,387165,0,38.333333333333336
1428104745,1428104758,397032,386796,0,38.0
1428104758,1428104760,396575,386339,0,37.66666666666667
1428104760,1428104864,396268,385602,0,37.333333333333336
1425700397,1425700414,596504,1216,0,37.33333333333333
6324545333,10096777300,518251,283195,0,37.06666666666666
6324545332,10096777300,517866,281960,0,36.733333333333334
1425700330,1425700397,594948,581,0,36.199999999999996
1424396483,1424396494,342391,334101,0,35.66666666666667
1424396494,1424396519,342052,333762,0,35.2
1424396484,1424396519,341761,333471,0,34.86666666666667
1424396484,1424396515,341353,333063,0,34.53333333333334
1431135602,1431135623,409310,272685,0,34.53333333333333
4834023388,4834023393,442628,211713,0,34.266666666666666
1431135619,1431135623,409064,272220,0,34.199999999999996
1425700602,10088707774,590597,227,0,34.13333333333334
1428213703,1428213725,607656,0,0,34.13333333333334
1428254730,1428254777,335886,319464,0,34.06666666666667
1431135619,9461895889,408846,266443,0,33.86666666666667
1428254777,6245769058,335542,319120,0,33.733333333333334
9461895889,12375857279,407756,265841,0,33.53333333333333
1428254666,1428254776,556840,709,0,33.46666666666667
1430553649,12375857279,407593,265190,0,33.199999999999996
1425700330,1425700378,594740,0,0,33.06666666666666
1428254969,6245769058,331001,315316,0,32.93333333333334
1428254969,1428254996,329385,314645,0,32.2
1425700602,1425700638,590370,0,0,32.00000000000001
1435398985,1435399074,420806,832,0,31.133333333333336
1430553625,1430553649,364904,207673,0,31.13333333333333
1435399074,1435399082,420250,705,0,30.599999999999998
1428254996,1428255004,315281,309939,0,29.799999999999997
1428254736,1428254776,556131,0,0,29.733333333333334
1435399082,1435399096,420190,216,0,28.866666666666667
9054502252,10091725358,342528,57673,0,28.800000000000004
1424396433,1424396444,346608,3565,0,28.666666666666668
1428255070,5527027187,312855,298749,0,28.666666666666668
1435399096,5512765587,420135,161,0,28.53333333333333
1424396515,1424396531,330586,199638,0,28.400000000000002
4849289061,10091725358,342360,57505,0,28.333333333333332
5527027187,9956262840,312561,297548,0,28.199999999999996
1425700580,3933513590,334473,87090,0,28.000000000000004
1425700732,3933513590,332978,86522,0,27.666666666666668
3842303813,10081181992,328530,197582,0,27.53333333333334
1985586710,5512765587,419974,0,0,26.8
4849317167,9054502249,344195,263,0,26.533333333333335
1424396531,1424396547,330245,1455,0,26.066666666666666
1424396547,3842303814,329423,633,0,24.933333333333334
1428255004,1428255011,314968,10429,0,24.46666666666667
1424396418,1424396433,346894,0,0,24.400000000000002
1428213692,10003353136,312818,15316,0,24.133333333333333
9054502249,9054502252,343932,0,0,24.000000000000004
1424396444,1424396460,343043,0,0,23.86666666666667
1424396460,1424396483,342678,0,0,23.733333333333334
3832483008,3842303813,327748,236,0,23.400000000000002
1428254710,1428254730,336367,0,0,22.800000000000004
1428255011,1428255090,314524,400,0,22.333333333333336
3842303814,10081181992,328790,0,0,21.46666666666667
1425700301,1425700318,318781,0,0,20.933333333333337
1428255070,1428255090,313303,0,0,19.6
1428213673,10003353136,312030,0,0,19.066666666666666
1428213668,1428213673,311641,0,0,
1428213655,1428213668,311224,0,0,
5527027189,9956262840,309365,0,0,
5527027189,11865973315,309051,0,0,
1428255174,11865973315,308755,0,0,
1424618995,6324545332,307153,0,0,
1424618995,3832525509,306847,0,0,
3832525509,11721987248,305675,0,0,
1425700624,1425700671,305471,0,0,
11721987247,11721987248,304459,0,0,
1424618974,11721987247,304008,0,0,
1425700656,1425700671,303785,0,0,
1425700656,4843004916,303504,0,0,
4843004916,4843023770,303206,0,0,
1425700731,4843023770,297875,0,0,
1425700731,10088707752,297657,0,0,
4843002567,10088707752,297370,0,0,
